vin,back_legroom,body_type,city,daysonmarket,dealer_zip,engine_cylinders,engine_displacement,engine_type,exterior_color,fleet,frame_damaged,franchise_dealer,franchise_make,front_legroom,fuel_tank_volume,fuel_type,has_accidents,height,highway_fuel_economy,horsepower,interior_color,isCab,is_certified,is_cpo,is_new,is_oemcpo,latitude,length,listed_date,listing_color,listing_id,longitude,main_picture_url,major_options,make_name,maximum_seating,mileage,model_name,owner_count,power,price,salvage,savings_amount,seller_rating,sp_id,sp_name,theft_title,torque,transmission,transmission_display,trimId,trim_name,vehicle_damage_category,wheel_system,wheel_system_display,wheelbase,width,year
WVGSV7AXXHK031394,35.8 in,SUV / Crossover,Bronx,20,10466,I4,2000,I4,White,FALSE,FALSE,TRUE,Jeep,40.1 in,16.9 gal,Gasoline,TRUE,67.1 in,23,200,Black,FALSE, , ,FALSE, ,40.8847,174.5 in,8/20/2020,WHITE,279804873,-73.8317,https://static.cargurus.com/images/forsale/2020/08/25/05/36/2017_volkswagen_tiguan-pic-6770267932901679957-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",Volkswagen,5 seats,30883,Tiguan,1,"200 hp @ 5,100 RPM",17500,FALSE,519,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE,"207 lb-ft @ 1,700 RPM",A,6-Speed Automatic,t69074,Wolfsburg 4Motion AWD, ,AWD,All-Wheel Drive,102.5 in,71.2 in,2017
1GYFZCR48KF111719,39.5 in,SUV / Crossover,Bay Shore,35,11706,I4,2000,I4,Radiant Silver Metallic,FALSE,FALSE,TRUE,Cadillac,40.4 in,15.9 gal,Gasoline,FALSE,64.1 in,30,237,Jet Black,FALSE, , ,FALSE, ,40.7333,181.1 in,8/5/2020,SILVER,278451690,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_cadillac_xt4-pic-7919022175633005065-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Power Package', 'Navigation System', 'Adaptive Cruise Control', 'Preferred Package', 'Technology Package', 'Premium Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Heat Package', 'Premium Package', 'Heated Seats', 'Tow Package', 'Android Auto', 'Cold Weather Package', 'CarPlay', 'Luxury Package', 'Multi Zone Climate Control', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Comfort Package', 'Convenience Package']",Cadillac,5 seats,4478,XT4,1,"237 hp @ 5,000 RPM",32439,FALSE,4823,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE,"258 lb-ft @ 1,500 RPM",A,9-Speed Automatic,t78739,Premium Luxury FWD, ,FWD,Front-Wheel Drive,109.4 in,83.5 in,2019
SALGS2RU1LA574558,39.3 in,SUV / Crossover,San Juan,348,922,I6,3000,I6,Santorini Black, , ,TRUE,Land Rover,39.1 in,27.6 gal,Gasoline, ,73.6 in, ,395,Black (Ebony/Ebony/Ebony/Ebony), , , ,TRUE, ,18.4439,196.9 in,9/27/2019,BLACK,253477541,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_range_rover_hybrid-pic-5491443183237139669-152x114.jpeg,"['Adaptive Cruise Control', 'Blind Spot Monitoring']",Land Rover,5 seats,104,Range Rover Hybrid, ,"395 hp @ 5,500 RPM",101737, ,0,3,389227,Land Rover San Juan, ,"406 lb-ft @ 2,000 RPM",A,8-Speed Automatic Overdrive,t87537,HSE AWD, ,AWD,All-Wheel Drive,115 in,87.4 in,2020
JM1GL1XY7J1328891,38.7 in,Sedan,Bayamon,473,960,I4,2500,I4,CRYSTAL BLUE, , ,TRUE,Jeep,42.2 in,16.4 gal,Gasoline, ,57.1 in, ,250,None, , , ,TRUE, ,18.3988,191.5 in,5/25/2019,BLUE,241789837,-66.1582,https://static.cargurus.com/images/forsale/2018/03/30/18/52/2018_mazda_mazda6-pic-5028871785197811177-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",Mazda,5 seats,10,MAZDA6, ,"250 hp @ 5,000 RPM",37140, ,0,2.8,370599,Flagship Chrysler, ,"310 lb-ft @ 2,000 RPM",A,6-Speed Automatic Overdrive,t78505,Signature Sedan FWD, ,FWD,Front-Wheel Drive,111.4 in,72.4 in,2018
3C4NJDBB5KT599511,38.3 in,SUV / Crossover,Bronx,13,10466,I4,2400,I4,granite crystal metallic clearcoat,FALSE,FALSE,TRUE,Jeep,41.8 in,13.5 gal,Gasoline,FALSE,64.8 in,30,180,Black,FALSE, ,TRUE,FALSE,TRUE,40.8847,173 in,8/27/2020,GRAY,280468177,-73.8317,https://static.cargurus.com/images/forsale/2020/09/01/20/05/2019_jeep_compass-pic-356628306960571809-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Quick Order Package']",Jeep,5 seats,18015,Compass,1,"180 hp @ 6,400 RPM",21300,FALSE,1785,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE,"175 lb-ft @ 3,900 RPM",A,9-Speed Automatic,t82990,Latitude 4WD, ,4WD,Four-Wheel Drive,103.8 in,80 in,2019
1G1BF5SM0H7110191,36.1 in,Sedan,Bay Shore,88,11706,I4,1400,I4,Mosaic Black Metallic,FALSE,FALSE,TRUE,Chevrolet,42 in,13.7 gal,Gasoline,FALSE,57.4 in,39,153,Jet Black,FALSE, ,TRUE,FALSE,TRUE,40.7333,183.7 in,6/13/2020,BLACK,274048186,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/13/58/2017_chevrolet_cruze-pic-8615294311556325349-152x114.jpeg,"['Sport Package', 'Leather Seats', 'Sunroof/Moonroof', 'Driver Confidence Package', 'Power Package', 'Navigation System', 'RS Package', 'Preferred Package', 'Technology Package', 'Premium Wheels', 'Blind Spot Monitoring', 'Heat Package', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'SE Package', 'Security Package', 'Audio Package', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Convenience Package']",Chevrolet,5 seats,32585,Cruze,1,"153 hp @ 5,600 RPM",15439,FALSE,1831,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE, ,A,6-Speed Automatic,t67588,Premier Sedan FWD, ,FWD,Front-Wheel Drive,106.3 in,70.5 in,2017
1C4RJFLG3HC613479,38.6 in,SUV / Crossover,Bronx,14,10466,V6,3000,V6,Bright White Clearcoat,FALSE,FALSE,TRUE,Jeep,40.3 in,24.6 gal,Gasoline,FALSE,69.3 in,25,241,Ruby Red/Black,FALSE, ,TRUE,FALSE,TRUE,40.8847,189.8 in,8/26/2020,WHITE,280311994,-73.8317,https://static.cargurus.com/images/forsale/2020/09/04/23/59/2017_jeep_grand_cherokee-pic-3817677155615014031-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Quick Order Package']",Jeep,5 seats,24274,Grand Cherokee,1,"360 hp @ 5,150 RPM",29800,FALSE,3661,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE,"390 lb-ft @ 4,250 RPM",A,8-Speed Automatic,t68774,Trailhawk 4WD, ,4WD,Four-Wheel Drive,114.8 in,84.8 in,2017
5UXKR0C54E0H15863,36.6 in,SUV / Crossover,Woodbury,18,11797,I6,3000,I6,Sparkling Brown Metallic,FALSE,FALSE,FALSE, ,40.4 in,22.5 gal,Gasoline,FALSE,69.9 in,27,300,Ivory White,FALSE, , ,FALSE, ,40.8168,191.1 in,8/22/2020,BROWN,280044648,-73.4643, ,"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Parking Sensors', 'Heated Seats']",BMW,5 seats,62256,X5, ,"300 hp @ 5,800 RPM",21495,FALSE,2484,2.963636364,432605,Dream Car Gallery,FALSE,"295 lb-ft @ 1,300 RPM",A,Automatic,t53278,xDrive35i AWD, ,AWD,All-Wheel Drive,115.5 in,86.5 in,2014
2GNALCEK4H1530857,39.9 in,SUV / Crossover,Bay Shore,20,11706,I4,2400,I4,Summit White,FALSE,FALSE,TRUE,Chevrolet,41.2 in,18.8 gal,Gasoline,FALSE,69.3 in, ,182,Jet Black,FALSE, ,TRUE,FALSE,TRUE,40.7333,187.8 in,8/20/2020,WHITE,279863010,-73.2587,https://static.cargurus.com/images/forsale/2020/08/29/19/31/2017_chevrolet_equinox-pic-3045982970676721233-152x114.jpeg,"['Sunroof/Moonroof', 'Driver Confidence Package', 'Power Package', 'Navigation System', 'Preferred Package', 'Technology Package', 'Premium Wheels', 'Heat Package', 'Parking Sensors', 'Heated Seats', 'LT Package', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Cargo Package', 'Convenience Package']",Chevrolet,5 seats,26829,Equinox,1,"182 hp @ 6,700 RPM",17324,FALSE,1645,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE,"172 lb-ft @ 4,900 RPM",A,6-Speed Automatic Overdrive,t67424,LT FWD, ,FWD,Front-Wheel Drive,112.5 in,72.5 in,2017
1G1BE5SM1H7275105,36.1 in,Sedan,Bay Shore,41,11706,I4,1400,I4,Tungsten Metallic,FALSE,FALSE,TRUE,Chevrolet,42 in,13.7 gal,Gasoline,FALSE,57.4 in,40,153,Jet Black,FALSE, ,TRUE,FALSE,TRUE,40.7333,183.7 in,7/30/2020,GRAY,277998713,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_cruze-pic-2705849102183957092-152x114.jpeg,"['Sport Package', 'Sunroof/Moonroof', 'Driver Confidence Package', 'Power Package', 'Navigation System', 'Preferred Package', 'Technology Package', 'Premium Wheels', 'Blind Spot Monitoring', 'Heat Package', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'LT Package', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Sound Package', 'Convenience Package']",Chevrolet,5 seats,29941,Cruze,1,"153 hp @ 5,600 RPM",14224,FALSE,1230,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE, ,A,6-Speed Automatic,t67587,LT Sedan FWD, ,FWD,Front-Wheel Drive,106.3 in,70.5 in,2017
KNDJP3AE3H7024713, ,Wagon,Bronx,46,10466, , , ,Shadow Black,FALSE,FALSE,TRUE,Jeep, , ,Electric,FALSE, , , ,Gray 2-Tone,FALSE, , ,FALSE, ,40.8847, ,7/25/2020,BLACK,277554749,-73.8317,https://d28oohqmlmgnr6.cloudfront.net/18/5b/42/ad-a3e8-4323-88ea-58e9b3eb6351/image-1.jpg,"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",Kia, ,26155,Soul EV,1, ,13000,FALSE,0,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE, ,A,1-Speed Automatic,t72498,FWD, ,FWD,Front-Wheel Drive, , ,2017
WBAFU7C54CDU58004,36.1 in,Sedan,Woodbury,56,11797,I6,3000,I6,Jet Black,FALSE,FALSE,FALSE, ,41.4 in,18.5 gal,Gasoline,TRUE,57.6 in,30,300,Black,FALSE, , ,FALSE, ,40.8168,193.1 in,7/15/2020,BLACK,276620119,-73.4643,https://static.cargurus.com/images/forsale/2020/08/23/08/24/2012_bmw_5_series-pic-7009013724907866364-152x114.jpeg,"['Leather Seats', 'Driver Assistance Package', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Technology Package', 'Heat Package', 'Premium Package', 'Premium Sound Package', 'Cold Weather Package', 'Luxury Package', 'Bluetooth', 'Backup Camera', 'Comfort Package', 'Sound Package']",BMW,5 seats,101415,5 Series,3,"300 hp @ 5,800 RPM",10495,FALSE,3386,2.963636364,432605,Dream Car Gallery,FALSE,"300 lb-ft @ 1,400 RPM",A,Automatic,t43417,535i xDrive Sedan AWD, ,AWD,All-Wheel Drive,116.9 in,82.8 in,2012
2G1WA5EN1A1101619,37.6 in,Sedan,Linden,286,7036,V6,3500,V6,BLACK,TRUE,FALSE,FALSE, ,42.3 in,17 gal,Gasoline,TRUE,58.7 in,29,207,Black,TRUE, , ,FALSE, ,40.6446,200.4 in,11/28/2019,BLACK,259178893,-74.2532,https://static.cargurus.com/images/forsale/2020/07/23/23/56/2010_chevrolet_impala-pic-4568691253018451007-152x114.jpeg,"['Navigation System', 'Steel Wheels', 'Remote Start']",Chevrolet,6 seats,147995,Impala,5,"207 hp @ 5,800 RPM",4499,FALSE,95,4.666666667,381819,Auto Legend,FALSE,"215 lb-ft @ 4,000 RPM",A,Automatic,t35571,LS FWD, ,FWD,Front-Wheel Drive,110.5 in,72.9 in,2010
WAULFAFR1DA012193,31.7 in,Coupe,Woodbury,361,11797,I4,2000,I4,Ibis White,FALSE,FALSE,FALSE, ,41.3 in,16.1 gal,Gasoline,FALSE,54 in,30,211,Velvet Beige/Brown,FALSE, , ,FALSE, ,40.8168,182.1 in,9/14/2019,WHITE,252294325,-73.4643,https://static.cargurus.com/images/forsale/2020/07/27/08/22/2013_audi_a5-pic-5676582007052428320-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",Audi,4 seats,74796,A5,2,"211 hp @ 4,300 RPM",13295,FALSE,2518,2.963636364,432605,Dream Car Gallery,FALSE,"258 lb-ft @ 1,500 RPM",A,Automatic,t43788,2.0T quattro Premium Plus Coupe AWD, ,AWD,All-Wheel Drive,108.3 in,79.5 in,2013
SALVP2BGXHH181671,36.4 in,SUV / Crossover,Woodbury,25,11797,I4,2000,I4,Fuji White,FALSE,FALSE,FALSE, ,40.1 in,18.1 gal,Gasoline,FALSE,64.4 in,29,240,Ebony/Ebony,FALSE, , ,FALSE, ,40.8168,172.1 in,8/15/2020,WHITE,279405549,-73.4643,https://static.cargurus.com/images/forsale/2020/08/16/09/22/2017_land_rover_range_rover_evoque-pic-4313105235888178591-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors']",Land Rover,5 seats,75095,Range Rover Evoque,1,"240 hp @ 5,800 RPM",23995,FALSE,1649,2.963636364,432605,Dream Car Gallery,FALSE,"250 lb-ft @ 1,750 RPM",A,Automatic,t69403,SE Premium, ,AWD,All-Wheel Drive,104.8 in,82.3 in,2017
WAUBFAFL1GN009069,35.2 in,Sedan,Bronx,34,10466,I4,2000,I4,Black,FALSE,FALSE,TRUE,Jeep,41.3 in,16.1 gal,Gasoline,FALSE,56.2 in,30,220,Black,FALSE, , ,FALSE, ,40.8847,185.1 in,8/6/2020,BLACK,278582858,-73.8317,https://static.cargurus.com/images/forsale/2020/08/29/04/34/2016_audi_a4-pic-3290675654102648455-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",Audi,5 seats,44491,A4,2,"220 hp @ 4,450 RPM",18900,FALSE,1358,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE,"258 lb-ft @ 1,500 RPM",A,8-Speed Automatic,t58016,2.0T quattro Premium Sedan AWD, ,AWD,All-Wheel Drive,110.6 in,80.3 in,2016
ZN661XUA1HX226942,--,SUV / Crossover,Woodbury,177,11797,V6,3000,V6,black,FALSE,FALSE,FALSE, ,--,21.1 gal,Gasoline,TRUE,66.1 in,20,345,Black,FALSE, , ,FALSE, ,40.8168,197 in,3/16/2020,BLACK,268753703,-73.4643,https://static.cargurus.com/images/forsale/2020/08/11/18/57/2017_maserati_levante-pic-1402238464148004748-152x114.jpeg,"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",Maserati,5 seats,61226,Levante,1,"345 hp @ 5,750 RPM",34895,FALSE,5384,2.963636364,432605,Dream Car Gallery,FALSE,"369 lb-ft @ 4,500 RPM",A,Automatic,t68576,3.0L, ,AWD,All-Wheel Drive,118.3 in,85 in,2017
55SWF4KB4HU210630,35.2 in,Sedan,Woodbury,25,11797,I4,2000,I4,Polar White,FALSE,FALSE,FALSE, ,41.7 in,17.4 gal,Gasoline,FALSE,56.8 in,31,241,Brown (Silk Beige/Black),FALSE, , ,FALSE, ,40.8168,184.5 in,8/15/2020,WHITE,279405546,-73.4643, ,"['Alloy Wheels', 'Bluetooth', 'Backup Camera']",Mercedes-Benz,5 seats,53458,C-Class,1,"241 hp @ 5,550 RPM",21995,FALSE,1278,2.963636364,432605,Dream Car Gallery,FALSE,"273 lb-ft @ 1,300 RPM",A,Automatic,t67385,C 300 4MATIC, ,AWD,All-Wheel Drive,111.8 in,79.5 in,2017
4T1BE46K67U121284,38.3 in,Sedan,Linden,76,7036,I4,2400,I4,blue,FALSE,FALSE,FALSE, ,41.7 in,18.5 gal,Gasoline,FALSE,57.9 in,30,158,Gray,FALSE, , ,FALSE, ,40.6446,189.2 in,6/25/2020,BLUE,274930662,-74.2532, , ,Toyota,5 seats,63383,Camry,2,"158 hp @ 6,000 RPM",8999,FALSE,1089,4.666666667,381819,Auto Legend,FALSE,"161 lb-ft @ 4,000 RPM",A,Automatic,t10207,CE, ,FWD,Front-Wheel Drive,109.3 in,71.7 in,2007
